book_id,language,title,year,author,place,manifest
824777,deu,Praktisches Reise-Handbuch nach und durch Italien,1840.0,"Lewald, August",Stuttgart,https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7804400/manifest2.json
825300,ita_old,Anatomia per uso dei pittori e scultori,1811.0,"Medico, Giuseppe del",Roma,https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb2204110/manifest2.json
825301,ita_old,Nuovissima guida dei viaggiatori in Italia,1834.0,"Artaria, Epimaco",Milano,https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb780350b/manifest2.json
856536,fra,Les Delices De L'Italie,1709.0,"Rogissart, Alexandre de",Leide,https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7803060b23/manifest2.json
856537,fra,Les Delices De L'Italie,1709.0,"Rogissart, Alexandre de",Leide,https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7803060b6/manifest2.json
856538,fra,Receuil De Vues et Fabriques pittoresques d'Italie,1804.0,"Bourgeois, Constant",Paris,https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb8054040/manifest2.json
856539,fra,"Palais, maisons et vues d'Italie",1809.0,"Clochar, Pierre",Paris,https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb8054090/manifest2.json
856797,eng,"The travels of Theodore Ducas, in various countries in Europe, at the revival of letters and art",1822.0,"Mills, Charles",London,https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/fa120422011/manifest2.json
856798,eng,"The travels of Theodore Ducas, in various countries in Europe, at the revival of letters and art",1822.0,"Mills, Charles",London,https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/fa120422012/manifest2.json
856800,lat,Andreae Schotti Itinerarium Italiae,,"Schottus, Franciscus",,https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/fa160780/manifest2.json
